0,0,0,0,1,0,1,0,1,1,0,2,10,0,0,1,0,0,1,0,2,0,0,5,67,0,0
0,0,0,1,10,2,4,0,7,4,0,0,39,0,1,46,9,0,13,1,10,0,0,11,286,0,0
0,0,0,0,2,0,0,0,1,1,0,0,3,0,0,3,2,0,1,0,3,0,0,4,62,0,0
0,0,0,0,1,1,0,0,2,1,0,0,15,0,0,15,0,0,9,0,7,0,0,4,110,0,0
0,0,0,0,78,3,39,30,8,10,4,3,430,0,2,167,32,0,145,5,49,1,0,85,2708,0,0
0,0,0,0,14,9,15,4,13,9,2,0,83,0,3,74,17,1,59,4,14,0,0,23,1134,0,0
0,0,0,0,19,1,61,1,30,28,7,4,221,0,1,178,16,0,114,1,50,0,0,75,1599,0,0
0,0,0,0,13,3,22,9,5,13,2,0,206,0,1,117,22,0,111,0,29,1,0,54,1647,1,0
0,0,0,0,11,1,37,3,39,17,11,1,173,0,1,94,13,0,127,0,26,0,0,77,1701,1,0
0,0,0,1,17,2,11,2,14,15,3,0,72,0,1,45,5,1,31,0,15,0,0,23,566,0,0
0,0,0,0,7,3,13,8,10,4,7,2,65,0,1,72,1,0,32,0,28,0,0,30,772,0,0
0,0,0,0,2,1,8,0,9,3,5,0,71,0,0,66,2,0,43,0,17,0,0,31,561,0,0
0,0,0,1,55,4,108,52,100,32,21,4,1709,1,2,938,72,2,622,1,219,0,0,483,8703,0,0
0,0,0,0,11,3,11,3,10,5,3,0,95,0,1,60,7,0,39,1,24,0,0,21,785,1,0
0,0,0,0,10,1,8,0,7,4,2,0,59,0,1,46,8,1,25,2,8,0,0,20,400,0,0
0,0,0,0,14,6,33,16,16,9,8,4,415,1,0,827,9,1,234,4,149,1,0,324,3667,2,0
0,0,0,0,36,7,10,6,11,23,6,0,119,0,2,102,24,1,108,0,18,0,0,42,1289,2,0
0,0,0,0,10,3,8,2,2,5,0,0,33,0,0,32,8,1,28,0,13,0,0,19,378,0,0
0,0,0,0,95,10,110,74,62,42,14,9,1329,0,10,1147,54,1,1122,2,267,2,0,540,9688,1,0
0,0,0,0,10,1,7,2,1,3,1,0,35,0,1,20,4,0,23,24,8,0,0,14,375,0,0
0,0,0,0,42,1,23,21,14,17,6,1,315,0,0,696,14,0,227,5,327,1,0,331,4194,0,0
0,0,0,0,3,1,0,1,1,0,3,0,16,0,0,18,3,0,13,0,11,0,0,9,199,0,0
0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,1,40,0,0
0,0,0,0,16,2,26,14,11,20,6,1,288,0,0,451,10,1,138,1,131,0,0,311,2749,0,0
1,0,0,0,153,26,336,119,141,131,34,19,2964,6,9,3410,106,2,1518,5,762,7,0,1506,36192,2,0
0,0,0,0,10,3,3,1,0,6,0,0,41,0,1,23,9,0,19,0,8,1,0,19,241,0,0
0,0,0,0,2,0,5,4,5,2,0,0,17,0,0,17,1,0,16,0,4,0,0,13,229,0,0
